,repository_name,language
0,apple-llvm-infrastructure-tools,C++
1,apple_rules_lint,Starlark
2,ARKitScenes,Python
3,AudioUnit-Examples,Swift
4,AudioUnitSDK,C++
5,batch-processing-gateway,Java
6,ccs-caldavclientlibrary,HTML
7,ccs-caldavtester,Python
8,ccs-calendarserver,Python
9,ccs-pycalendar,Python
10,ccs-pykerberos,C
11,ccs-pyopendirectory,C++
12,ccs-pyosxframeworks,Python
13,ccs-pysecuretransport,Python
14,ccs-twistedextensions,Python
15,coremltools,Python
16,cups,C
17,darwin-libplatform,C
18,darwin-libpthread,C
19,darwin-xnu,C
20,device-management,
21,example-package-dealer,Swift
22,example-package-deckofplayingcards,Swift
23,example-package-fisheryates,Swift
24,example-package-playingcard,Swift
25,FHIRModels,Swift
26,foundationdb,C++
27,fstools,C
28,GCGC,Jupyter Notebook
29,HomeKitADK,C
30,indexstore-db,C++
31,learning-compressible-subspaces,Python
32,learning-subspaces,Python
33,llvm-monorepo-root,
34,llvm-project,
35,llvm-project-v5,C++
36,llvm-project-v5-split,C++
37,MaterialX,
38,ml-afv,Python
39,ml-all-pairs,Python
40,ml-ane-transformers,Python
41,ml-aspanformer,Python
42,ml-batchquant,Python
43,ml-capsules-inverted-attention-routing,Python
44,ml-cifar-10-faster,Python
45,ml-code-switched-speech-translation,Python
46,ml-collegial-ensembles,Python
47,ml-core,Python
48,ml-covid-mobility,R
49,ml-cread,Python
50,ml-cvnets,Python
51,ml-cvpr2019-swd,Python
52,ml-dab,Python
53,ml-data-parameters,Python
54,ml-dms-dataset,Python
55,ml-envmapnet,Python
56,ml-equivariant-neural-rendering,Jupyter Notebook
57,ml-facelit,Python
58,ml-fct,Python
59,ml-flair,Jupyter Notebook
60,ml-gaudi,
61,ml-gmpi,Python
62,ml-gsn,Python
63,ml-hierarchical-confusion-matrix,TypeScript
64,ml-hypersim,Python
65,ml-interspeech2022-phi_rtn,
66,ml-knowledge-conflicts,Python
67,ml-live-pose,
68,ml-mkqa,Python
69,ml-mobileone,Swift
70,ml-multiple-futures-prediction,Python
71,ml-ncg,Python
72,ml-neilf,Python
73,ml-neuman,Python
74,ml-no-token-left-behind,Jupyter Notebook
75,ml-probabilistic-attention,Python
76,ml-qrecc,Python
77,ml-quant,Python
78,ml-robust-expert-augmentations,Python
79,ml-sad,Python
80,ml-selfcond,Python
81,ml-shuffling-amplification,Python
82,ml-spin,Python
83,ml-stable-diffusion,Python
84,ml-stuttering-events-dataset,Python
85,ml-tract,Python
86,ml-transcript-translation-consistency-ratings,
87,ml-translate-vis,TypeScript
88,ml-tree-dst,Python
89,ml-uwac,Python
90,ml-vfi-smiff,Python
91,openjdk,Java
92,password-manager-resources,JavaScript
93,sample-cloudkit-coredatasync,Swift
94,sample-cloudkit-encryption,Swift
95,sample-cloudkit-privatedb,Swift
96,sample-cloudkit-privatedb-sync,Swift
97,sample-cloudkit-queries,Swift
98,sample-cloudkit-sharing,Swift
99,sample-cloudkit-tooling,JavaScript
100,sample-cloudkit-zonesharing,Swift
101,sample-food-truck,Swift
102,servicetalk,Java
103,sourcekit-lsp,Swift
104,swift,C++
105,swift-3-api-guidelines-review,Swift
106,swift-algorithms,Swift
107,swift-argument-parser,Swift
108,swift-asn1,Swift
109,swift-async-algorithms,Swift
110,swift-atomics,Swift
111,swift-book,Markdown
112,swift-cassandra-client,Swift
113,swift-certificates,Swift
114,swift-clang,C++
115,swift-clang-tools-extra,C++
116,swift-cluster-membership,Swift
117,swift-cmark,C
118,swift-collections,Swift
119,swift-collections-benchmark,Swift
120,swift-community-hosted-continuous-integration,
121,swift-compiler-rt,C
122,swift-corelibs-foundation,Swift
123,swift-corelibs-libdispatch,C
124,swift-corelibs-xctest,Swift
125,swift-crypto,C
126,swift-distributed-actors,Swift
127,swift-distributed-tracing,Swift
128,swift-distributed-tracing-baggage,Swift
129,swift-distributed-tracing-baggage-core,Swift
130,swift-distributed-tracing-extras,Swift
131,swift-docc,Swift
132,swift-docc-plugin,Swift
133,swift-docc-render,JavaScript
134,swift-docc-render-artifact,
135,swift-docc-symbolkit,Swift
136,swift-docker,Dockerfile
137,swift-driver,Swift
138,swift-evolution,Markdown
139,swift-evolution-staging,Swift
140,swift-experimental-string-processing,Swift
141,swift-format,Swift
142,swift-foundation,Swift
143,swift-foundation-icu,C++
144,swift-http-structured-headers,Swift
145,swift-installer-scripts,CMake
146,swift-integration-tests,Python
147,swift-internals,HTML
148,swift-issues,
149,swift-libcxx,C++
150,swift-llbuild,C++
151,swift-llbuild2,Swift
152,swift-lldb,C++
153,swift-llvm,LLVM
154,swift-llvm-bindings,Swift
155,swift-lmdb,C
156,swift-log,Swift
157,swift-markdown,Swift
158,swift-metrics,Swift
159,swift-metrics-extras,Swift
160,swift-nio,Swift
161,swift-nio-examples,Swift
162,swift-nio-extras,Swift
163,swift-nio-http2,Swift
164,swift-nio-imap,Swift
165,swift-nio-nghttp2-support,Swift
166,swift-nio-ssh,Swift
167,swift-nio-ssl,C
168,swift-nio-ssl-support,Swift
169,swift-nio-transport-services,Swift
170,swift-nio-zlib-support,Swift
171,swift-numerics,Swift
172,swift-org-website,SCSS
173,swift-package-collection-generator,Swift
174,swift-package-manager,Swift
175,swift-package-registry-compatibility-test-suite,Swift
176,swift-protobuf,Swift
177,swift-protobuf-plugin,
178,swift-protobuf-test-conformance,
179,swift-sample-distributed-actors-transport,Swift
180,swift-se0270-range-set,Swift
181,swift-se0288-is-power,Swift
182,swift-service-discovery,Swift
183,swift-source-compat-suite,Python
184,swift-standard-library-preview,Swift
185,swift-statsd-client,Swift
186,swift-stress-tester,Swift
187,swift-syntax,Swift
188,swift-system,Swift
189,swift-tools-support-async,Swift
190,swift-tools-support-core,Swift
191,swift-xcode-playground-support,Swift
192,swiftpm-on-llbuild2,Swift
193,tensorflow_macos,Shell
194,turicreate,C++
195,unityplugins,C#
196,VideoFlashingReduction,Mathematica
197,vqg-multimodal-assistant,Python
